Name,Wallet,Wins,Losses,Total Won,Total Lost,Duplicated Bets,Diff Outcome Count,Diff Outcome Details
circleraybaococoboba,0x0d16999d6ba24c2c2c8bff93f91014cc43fad24d,70,10,2321061.41,24920.31,39,0,
gamblingdebt,0xc8b438e4a1c10643ea0ea3e59bcaadc73174f05d,28,19,276130.65,130666.87,28,0,
0xb7A80bCd1584208877677387145d2227b8a814f8-1762798186244,0xb7a80bcd1584208877677387145d2227b8a814f8,34,17,643661.71,470840.71,16,2,"epl-ars-tot-2025-11-23-ars: Different outcomes (No, Yes); lal-bet-bar-2025-12-06-bar: Different outcomes (No, Yes)"
SammySledge,0xafbacaeeda63f31202759eff7f8126e49adfe61b,24,20,917997.34,465299.74,31,2,"nfl-ne-bal-2025-12-21: Different outcomes (Ravens, Patriots); cfb-ala-okl-2025-12-19: Different outcomes (Alabama, Oklahoma)"
4-seas,0x51393c00184b39182f09a8a62b8549642e69a8db,112,53,677552.11,219600.83,91,31,"nhl-fla-utah-2025-12-11: Different outcomes (Panthers, Utah); nba-phx-min-2025-12-08-spread-home-9pt5: Different outcomes (Suns, Timberwolves); nba-phx-min-2025-12-08-total-223pt5: Different outcomes (Under, Over); nba-sas-nop-2025-12-08: Different outcomes (Pelicans, Spurs); nhl-sj-phi-2025-12-10: Different outcomes (Sharks, Flyers); nba-okc-uta-2025-12-07: Different outcomes (Jazz, Thunder); nba-lal-phi-2025-12-07: Different outcomes (76ers, Lakers); nhl-las-nyi-2025-12-10: Different outcomes (Islanders, Golden Knights); nhl-tb-tor-2025-12-09: Different outcomes (Maple Leafs, Lightning); nfl-phi-lac-2025-12-08: Different outcomes (Chargers, Eagles); nba-phx-okc-2025-12-10: Different outcomes (Suns, Thunder); nba-nyk-tor-2025-12-09: Different outcomes (Knicks, Raptors); nfl-sea-atl-2025-12-07-spread-away-7pt5: Different outcomes (Falcons, Seahawks); nfl-no-tb-2025-12-07: Different outcomes (Saints, Buccaneers); nfl-ten-cle-2025-12-07: Different outcomes (Browns, Titans); nba-mia-orl-2025-12-09: Different outcomes (Magic, Heat); nba-por-mem-2025-12-07: Different outcomes (Trail Blazers, Grizzlies); nba-bos-tor-2025-12-07: Different outcomes (Celtics, Raptors); nba-sas-lal-2025-12-10: Different outcomes (Spurs, Lakers); nfl-hou-kc-2025-12-07-total-42pt5: Different outcomes (Under, Over); nfl-phi-lac-2025-12-08-total-41pt5: Different outcomes (Under, Over); nba-gsw-chi-2025-12-07: Different outcomes (Bulls, Warriors); nba-sac-ind-2025-12-08-total-234pt5: Different outcomes (Under, Over); nba-phx-min-2025-12-08: Different outcomes (Suns, Timberwolves); nhl-ana-pit-2025-12-10: Different outcomes (Penguins, Ducks); nba-den-cha-2025-12-07-spread-away-10pt5: Different outcomes (Nuggets, Hornets); nfl-hou-kc-2025-12-07-spread-home-4pt5: Different outcomes (Texans, Chiefs); cbb-clmsn-byu-2025-12-09: Different outcomes (Clemson Tigers, BYU Cougars); nba-orl-nyk-2025-12-07: Different outcomes (Magic, Knicks); nfl-chi-gb-2025-12-07-total-44pt5: Different outcomes (Under, Over); nhl-cbj-car-2025-12-10: Different outcomes (Blue Jackets, Hurricanes)"
ESPORTSENTHUSIAST,0x8c0b024c17831a0dde038547b7e791ae6a0d7aa5,25,14,78050.5,13202.93,25,8,"nba-min-den-2025-12-25: Different outcomes (Nuggets, Timberwolves); lol-omg-lng-2025-12-28-game1: Different outcomes (LNG Esports, Oh My God); lol-omg-lng-2025-12-28-game2: Different outcomes (LNG Esports, Oh My God); lol-omg-lng-2025-12-28: Different outcomes (LNG Esports, Oh My God); cs2-heroa-meg1-2025-12-28: Different outcomes (HEROIC Academy, megoshort); nba-den-orl-2025-12-27: Different outcomes (Nuggets, Magic); lol-ig1-tes-2025-12-26-game3: Different outcomes (Invictus Gaming, Top Esports); lol-jdg-edg-2025-12-27-game3: Different outcomes (EDward Gaming, JD Gaming)"
jokerfucker,0x68469ab9009f2783e243a1d0957f4cdd8939b797,13,5,352207.26,4291.63,12,0,
BK9496,0xb3dda8a76f79f132b6f1a4b3c89f47474ea4a7e0,42,37,621534.78,240997.49,57,0,
0xf98DEc26318D00d7863746D6Aa2347691EE37ADb-1765930953808,0xf98dec26318d00d7863746d6aa2347691ee37adb,8,6,700951.51,381689.31,12,0,
FireKevinPatullo,0xf68a281980f8c13828e84e147e3822381d6e5b1b,111,58,406841.95,126106.33,77,11,"nhl-tb-fla-2025-12-27-total-5pt5: Different outcomes (Under, Over); nfl-tb-mia-2025-12-28-spread-away-5pt5: Different outcomes (Buccaneers, Dolphins); nfl-ne-nyj-2025-12-28-spread-away-33pt5: Different outcomes (Jets, Patriots); nhl-mon-tb-2025-12-28: Different outcomes (Canadiens, Lightning); cfb-gtech-byu-2025-12-27-total-54pt5: Different outcomes (Under, Over); nhl-col-las-2025-12-27: Different outcomes (Avalanche, Golden Knights); nba-uta-sas-2025-12-27: Different outcomes (Jazz, Spurs); nba-phx-nop-2025-12-27-total-238pt5: Different outcomes (Under, Over); nba-nyk-atl-2025-12-27: Different outcomes (Knicks, Hawks); nba-cle-hou-2025-12-27-1h-spread-home-2pt5: Different outcomes (Rockets, Cavaliers); cfb-ntx-sdst-2025-12-27: Different outcomes (San Diego State, North Texas)"
